"U.S. food imports, estimated value by country",,,,,,,,,,,,,,,,,,,,,,,Annual growth,,,,,,,,,,,,,,,,,,,Avg.growth
,,,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,2000-17
,,,,,,,,,,,Million $,,,,,,,,,,,,,,,,,,,Percent,,,,,,,,,,,,
Top 64 U.S. food import sources 1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Mexico,,"5,421.3","5,833.2","5,943.9","6,162.8","7,023.5","7,993.1","9,106.6","10,274.3","11,138.9","11,801.1","12,210.9","14,427.9","16,813.5","17,393.8","18,701.5","20,592.9","22,445.8","24,339.6","26,200.3",,7.6,1.9,3.7,14.0,13.8,13.9,12.8,8.4,5.9,3.5,18.2,16.5,3.5,7.5,10.1,9.0,8.4,7.6,,9.2
2,Canada,,"9,001.5","9,853.5","10,991.9","11,558.5","11,607.2","12,732.9","13,665.9","14,794.7","16,410.8","18,997.6","15,699.4","17,375.6","19,799.1","20,541.2","21,927.6","23,249.5","22,434.0","22,609.8","23,541.0",,9.5,11.6,5.2,0.4,9.7,7.3,8.3,10.9,15.8,-17.4,10.7,13.9,3.7,6.7,6.0,-3.5,0.8,4.1,,5.8
3,China,,979.1,"1,119.9","1,232.5","1,590.0","2,111.4","2,463.8","2,850.4","3,660.2","4,283.9","4,910.5","4,203.0","4,854.1","5,581.8","5,937.2","6,006.9","6,020.0","5,896.4","5,866.2","6,159.7",,14.4,10.1,29.0,32.8,16.7,15.7,28.4,17.0,14.6,-14.4,15.5,15.0,6.4,1.2,0.2,-2.1,-0.5,5.0,,11.4
4,France(*),,"1,980.7","1,866.8","1,836.7","2,109.1","2,492.3","2,578.5","2,797.5","3,164.8","3,588.6","3,569.4","2,893.3","3,146.9","3,650.0","3,913.6","4,101.0","4,274.7","4,411.6","4,775.6","5,100.3",,-5.8,-1.6,14.8,18.2,3.5,8.5,13.1,13.4,-0.5,-18.9,8.8,16.0,7.2,4.8,4.2,3.2,8.3,6.8,,5.8
5,Italy(*),,"1,450.7","1,571.4","1,586.9","1,825.6","2,128.3","2,346.3","2,641.1","2,862.2","3,096.7","3,286.2","2,939.9","3,041.1","3,501.1","3,618.1","3,868.2","4,132.2","4,184.2","4,365.8","4,586.4",,8.3,1.0,15.0,16.6,10.2,12.6,8.4,8.2,6.1,-10.5,3.4,15.1,3.3,6.9,6.8,1.3,4.3,5.1,,6.8
6,Chile,,"1,180.4","1,388.2","1,375.6","1,547.5","1,757.1","1,909.2","2,157.7","2,576.6","2,684.7","2,846.2","2,683.9","2,678.4","3,030.9","3,127.2","3,819.4","4,118.7","4,068.0","4,531.9","4,582.4",,17.6,-0.9,12.5,13.5,8.7,13.0,19.4,4.2,6.0,-5.7,-0.2,13.2,3.2,22.1,7.8,-1.2,11.4,1.1,,8.1
7,India,,945.0,988.3,868.3,964.4,"1,032.8","1,138.3","1,136.8","1,200.5","1,194.8","1,511.6","1,266.8","1,685.1","3,001.5","5,710.9","4,307.3","4,332.3","3,735.5","3,363.7","4,468.3",,4.6,-12.1,11.1,7.1,10.2,-0.1,5.6,-0.5,26.5,-16.2,33.0,78.1,90.3,-24.6,0.6,-13.8,-10.0,32.8,,12.4
8,Indonesia,,959.9,923.0,868.1,912.8,"1,045.3","1,246.1","1,449.8","1,555.1","1,633.7","2,155.9","1,928.2","2,131.8","2,500.5","2,490.2","2,790.5","3,565.1","3,508.0","3,623.2","4,320.1",,-3.8,-6.0,5.1,14.5,19.2,16.3,7.3,5.1,32.0,-10.6,10.6,17.3,-0.4,12.1,27.8,-1.6,3.3,19.2,,9.3
9,Vietnam,,293.3,493.9,627.2,795.7,964.8,923.9,"1,027.9","1,116.3","1,317.9","1,474.9","1,368.6","1,771.5","2,265.7","2,410.9","2,750.4","3,344.7","3,106.7","3,484.4","3,696.3",,68.4,27.0,26.9,21.3,-4.2,11.3,8.6,18.1,11.9,-7.2,29.4,27.9,6.4,14.1,21.6,-7.1,12.2,6.1,,16.2
10,Ireland,,339.1,321.0,287.2,333.7,"1,295.1","2,008.2","2,449.6","2,506.7","2,469.2","2,573.7","2,252.7","2,322.9","2,408.2","2,465.9","2,717.3","2,840.8","3,264.3","3,188.9","3,353.3",,-5.4,-10.5,16.2,288.1,55.1,22.0,2.3,-1.5,4.2,-12.5,3.1,3.7,2.4,10.2,4.5,14.9,-2.3,5.2,,22.2
11,Thailand,,"2,023.4","2,253.0","2,050.8","1,818.8","2,009.7","2,021.4","2,207.1","2,614.9","2,673.6","3,100.7","3,138.1","3,539.9","3,919.0","3,526.8","3,277.9","3,174.5","3,130.4","3,178.8","3,226.9",,11.3,-9.0,-11.3,10.5,0.6,9.2,18.5,2.2,16.0,1.2,12.8,10.7,-10.0,-7.1,-3.2,-1.4,1.5,1.5,,3.0
12,Australia(*),,"1,169.6","1,477.1","1,710.7","1,871.8","2,082.2","2,442.5","2,394.4","2,441.2","2,597.3","2,317.8","2,230.7","2,222.8","2,251.0","2,554.6","2,616.7","3,742.3","4,143.4","3,063.5","3,123.1",,26.3,15.8,9.4,11.2,17.3,-2.0,2.0,6.4,-10.8,-3.8,-0.4,1.3,13.5,2.4,43.0,10.7,-26.1,1.9,,6.6
13,Brazil,,"1,304.9","1,063.7",901.3,"1,015.3","1,381.5","1,449.5","1,764.7","1,966.1","2,317.5","2,244.4","2,029.4","2,487.3","3,668.7","2,990.8","2,910.2","3,503.8","3,097.8","2,884.1","2,935.9",,-18.5,-15.3,12.7,36.1,4.9,21.7,11.4,17.9,-3.2,-9.6,22.6,47.5,-18.5,-2.7,20.4,-11.6,-6.9,1.8,,6.2
